     ____
    / _  |   Frida 17.17.0 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   Prefer a GUI? Luma is the official Frida app, with a live REPL,
   . . . .   persistent sessions & collaboration. https://luma.frida.re/
   . . . .
   . . . .   Connected to iPhone (id=00008150-00093DA00ABB401C)
Spawning `com.oceanwing.SoundCore.G8AW4BQ7RV`...

==================== PROCESS ====================
frida       : 17.17.0
pid / arch  : 6592 / arm64
page size   : 16384
objc avail  : true

==================== MODULES OF INTEREST ====================
    _MRGroupSessionTokenProtobuf
    _MRGroupTopologyModificationRequestProtobuf
    _MRLyricsTokenProtobuf
    _MRMicrophoneConnectionRequestMessageProtobuf
    _MRPlaybackQueueRequestProtobuf
    _MRPlaybackSessionMigrateRequestEventProtobuf
    _MRPlaybackSessionMigrateRequestMessageProtobuf
    _MRPlaybackSessionMigrateRequestProtobuf
    _MRPlaybackSessionRequestMessageProtobuf
    _MRPlaybackSessionRequestProtobuf
    _MRRequestDetailsProtobuf
    _MRRequestGroupSessionMessageProtobuf
    _MRUpdateActiveSystemEndpointRequestProtobuf
    _MRVideoThumbnailRequestProtobuf
    _MXExtensionInternalServiceRequestDispatcher
    _MXExtensionInternalStreamingServiceRequestDispatcher
    _MXExtensionRequestDispatcher
    _MXExtensionRequestReceipt
    _MapKit_SwiftUI.MapBridgingCustomAnnotation
    _MapKit_SwiftUI.MapBridgingUserAnnotation
    _MapKit_SwiftUI.SwiftUIAnnotationView
    _NSGenerationTokenMapEntry
    _NSKeyValueObjectAndKeyPair
    _NSNoChangeToken
    _NSPersistentHistoryToken
    _NSQueryGenerationToken
    _NSTruncationTokenAttachment
    _NSXPCConnectionRequestedReplies
    _NSXPCQueryGenerationToken
    _NUVideoPlaybackFrameRequestResponse
    _PASNotificationToken
    _PFFetchPlanHeader
    _PFRequestExecutor
    _PHAssetCreationRequestValidator
    _PHFetchRequestWrapper
    _PKRemoteNetworkPaymentCoordinator
    _PSPhotoSuggestionsCancellationToken
    _PSPhotoSuggestionsOutstandingRequestsGuardedData
    _PS_TPSDiscoverabilitySignal
    _ReachabilityRequest
    _RequestRewriter
    _SFAuthenticatedCiphertext
    _SFCiphertext
    _SFCollaborationItemsRequest
    _SFECDHKeySource
    _SFECDHOperation
    _SFECKeyPair
    _SFEC_X962SigningOperation
    _SFIESCiphertext
    _SFKeyPair
    _SFLinkPreviewHeader
    _SFPBAppEntityAnnotation
    _SFPBCloudChannelsRequestItem
    _SFPBCoreSpotlightRankingSignals
    _SFPBDomainSubscriptionRequestItem
    _SFPBEngagementSignal
    _SFPBMailRankingSignals
    _SFPBPersonHeaderCardSection
    _SFPBRFMapAnnotation
    _SFPBRFPrimaryHeaderMarqueeCardSection
    _SFPBRFPrimaryHeaderRichCardSection
    _SFPBRFPrimaryHeaderStackedImageCardSection
    _SFPBRFPrimaryHeaderStandardCardSection
    _SFPBRFSecondaryHeaderEmphasizedCardSection
    _SFPBRFSecondaryHeaderStandardCardSection
    _SFPBRFTableHeaderCardSection
    _SFPBRequestAppClipInstallCommand
    _SFPBRequestProductPageCommand
    _SFPBRequestUserReportCommand
    _SFPBSectionHeaderCardSection
    _SFPBShowPurchaseRequestSheetCommand
    _SFPBShowScreenTimeRequestSheetCommand
    _SFPBSportsSubscriptionRequestItem
    _SFPBTableHeaderRowCardSection
    _SFPBUserReportRequest
    _SFReportFeedbackIssueHeader
    _SFRequestDesktopSitePreferenceManager
    _SFRequestDesktopSiteQuirksManager
    _SFRequestDesktopSiteQuirksSnapshot
    _SFRequestDesktopSiteQuirksSnapshotTransformer
    _SFSafariViewControllerPrewarmingRequestThrottler
    _SFSavedAccountTouchIconRequest
    _SFSearchRequest
    _SFSignedData
    _SNClassifySoundRequest
    _SignpostAggregationValueSegmentParser
    _TSF_TSDgPTPNetworkPort
    _TempToken
    _TempTokenTimestampValue
    _TtC10ContactsUIP33_3062C0EB640D5F51DAD6AB600DEB05B645CNContactHeaderQuickActionsControllerObserver
    _TtC10SoundCloudP33_A38F2645DD514F4A63F0F38E8A06C40E20SCNotionRequestModel
    _TtC10SoundCloudP33_A38F2645DD514F4A63F0F38E8A06C40E27SCExchangeTokenRequestModel
    _TtC12FeedbackCoreP33_D9FAF2EFE945F09EE11FB1A64C59300B20FBKAnnotationHelpers
    _TtC12GRDBInternalP33_5F8D7B12E8A0EEC73E56D171E90015B315TokenizeContext
    _TtC12GRDBInternalP33_DD489258FC95DF274B95472AEFF9136818FetchRequestEraser
    _TtC12ModuleCommonP33_8CD2A6BC478E655B9C9FE3ABC5C4362125FeatureSwitchRequestModel
    _TtC13DesignLibraryP33_5A61B2DF3E609080010D8B038010657019ResourceBundleClass
    _TtC13DesignLibraryP33_F43806E1938B76211E8CB43C44938DE019_ImpossibleExecutor
    _TtC14AudioAnalyticsP33_5AE8E28E32642FC888FB9823282CA3C211TokenBucket
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F32NEIKEv2CryptoKitSPAKE2PlusProver
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F34NEIKEv2CryptoKitSPAKE2PlusVerifier
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F38NEIKEv2KeyExchangeHandlerCryptoKitP256
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F38NEIKEv2KeyExchangeHandlerCryptoKitP384
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F38NEIKEv2KeyExchangeHandlerCryptoKitP521
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F38NEIKEv2KeyExchangeHandlerCryptoKitX448
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F40NEIKEv2KeyExchangeHandlerCryptoKitX25519
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F42NEIKEv2KeyExchangeHandlerCryptoKitMLKEM768
    _TtC16NetworkExtensionP33_8A6EAEC7B0CD28E3C1D36D746A66647F43NEIKEv2KeyExchangeHandlerCryptoKitMLKEM1024
    _TtC17CoreODIEssentialsP33_93F523180A2FE192D6FE57234EA1F16914ODNRequestTask
    _TtC17RealityFoundationP33_7E94ACFF7DB355400A173EC98A49765C24SMCNetworkSystemObserver
    _TtC17RealityFoundationP33_8027E7BB3B493036668872B65CA2712A24VPCNetworkSystemObserver
    _TtC18AppleMediaServicesP33_68239C40601534D7947471707625281632DeveloperSilentAuthTokenDelegate
    _TtC18TelephonyUtilitiesP33_B942A2D0BE491829F70B084E9ABEA96636DefaultDarwinNotificationCenterToken
    _TtC19TokenGenerationCoreP33_77ABCD41F000EB3C4AAEC3BD7ED6ED2F4Node
    _TtC22AuthenticationServicesP33_69A77571B0FC9B54CADBF6C775CFD2A245ASCredentialRequestPaneHeaderRawConfiguration
    _TtC23LocalAuthenticationCoreP33_53C4CF2605483CE5CE76F1EC3A4D036F37LACConcurrentEvaluationManagedRequest
    _TtC23LocalAuthenticationCoreP33_7C23A2E67F893FA563A4E1A97AE88CD340LACCompanionAuthenticationPendingRequest
    _TtC6ktraceP33_672812E7483E3BDB665D98181FA45B2F12SignalWaiter
    _TtC7NetworkP33_CFBD4EB2ABB20EFC96032331681B9C8314__NWHTTPFields
    _TtC7NetworkP33_CFBD4EB2ABB20EFC96032331681B9C8315__NWHTTPRequest
    _TtC7NetworkP33_CFBD4EB2ABB20EFC96032331681B9C8316__NWHTTPResponse
    _TtC7NetworkP33_CFBD4EB2ABB20EFC96032331681B9C8320__NWHTTPParsedFields
    _TtC7NetworkP33_CFBD4EB2ABB20EFC96032331681B9C8322__NWHTTPFieldsProvider
    _TtC7SwiftUIP33_1C4DED7BD95AC993CC69F2CB25BC2A4019DropInfoTargetStore
    _TtC7SwiftUIP33_FB4D19B065EC4D2CC549DBA6E2D239A517SceneRequestCache
    _TtC8CloudKitP33_D874BC29987C0F9F89EC9BDAEEBD096F28SignpostIntervalStateWrapper
    _TtC9AskToCoreP33_49675334925B31D397C462A60F54F02A19RequestJourneyEvent
    _TtC9AuthKitUIP33_477519CF0058A88A0508C0A799EDF62844ModalSignInViewControllerDelegateForPreviews
    _TtCC10AppIntents16_SuggestedAction12RequestValue
    _TtCC10AppIntents16_SuggestedAction19RequestConfirmation
    _TtCC10AppIntents16_SuggestedAction21RequestDisambiguation
    _TtCC10AppIntents16_SuggestedAction25RequestActionConfirmation
    _TtCC10Navigation18ETAUpdateRequester12ResponseInfo
    _TtCC10Navigation18ETAUpdateRequesterP33_430CF049DBFA51AC425BF40B0BA2189917AsyncETARequester
    _TtCC10RealityKit18__AssetLoadRequest10Statistics
    _TtCC12AppleArchive13ArchiveHeader15EntryAttributes
    _TtCC12AppleArchive13ArchiveHeader19_EntryFilterWrapper
    _TtCC12FamilyCircle30FAChildAccountCutOffAgeRequest7Request
    _TtCC12GRDBInternal8DatabaseP33_5A6CBE2AA28B02E3CEA065D55090729924FTS5TokenizerConstructor
    _TtCC12GRDBInternal8DatabaseP33_5F8D7B12E8A0EEC73E56D171E90015B323FTS5RegisteredTokenizer
    _TtCC12MobileSafari17BrowsingAssistant16MainHeaderFooter
    _TtCC12MobileSafari35SFBookmarksCollectionViewController16SelectableHeader
    _TtCC12MobileSafari35SFBookmarksCollectionViewController17HistoryInfoHeader
    _TtCC13IDSFoundation21IDSToolRequestHandler27WeakGroupEncryptionProvider
    _TtCC16AlchemistService16InferenceRequest14OutputDelegate
    _TtCC17CoreODIEssentials14DIPHTTPSession24ClientInfoHeaderProvider
    _TtCC17IMSharedUtilities35IMCTRCSUtilitiesManagerLiveDelegateP33_577F2775081B36C12644BEE661E3D2555Token
    _TtCC17RealityFoundation25PhotogrammetrySessionImpl10RequestMap
    _TtCC18AppleMediaServices23AccountCachedServerData23LockingWrappedBoolToken
    _TtCC18PhotosIntelligence7AjaxLLMP33_72909E56B06CA988A9E0242EA665377221DawTokenAuthenticator
    _TtCC19TokenGenerationCore16EarleyRecognizer17RecognizerGrammar
    _TtCC34GenerativeFunctionsInstrumentation28PartnerCloudRequestProcessorP33_CF6B5976E14BD2252DD8ADBB3890BE4325PartnerCloudRequestEvents
    _TtCC3XPC11XPCListener22IncomingSessionRequest
    _TtCC6CoreOC20ObjectCaptureSessionP33_1CBB41402969BD195192C8954988428210ShotAnchor
    _TtCC6Vision16TrackMaskRequest5State
    _TtCC6Vision18TrackObjectRequest5State
    _TtCC6Vision21TrackRectangleRequest5State
    _TtCC6Vision23TrackOpticalFlowRequest5State
    _TtCC6Vision25DetectTrajectoriesRequest5State
    _TtCC6Vision28DetectHumanBodyPose3DRequest5State
    _TtCC6Vision33GeneratePersonSegmentationRequest5State
    _TtCC7Network12NWConnection25PendingDataTransferReport
    _TtCC7Network12NWParameters14PrivacyContext
    _TtCC7Network13NWActorSystem15ActorConnection
    _TtCC7Network13NWActorSystem18RemoteCallActivity
    _TtCC7Network13_NWConnection14ContentContext
    _TtCC7Network13_NWParameters13ProtocolStack
    _TtCC7Network13_NWProtocolIP7Options
    _TtCC7Network13_NWProtocolIP8Metadata
    _TtCC7Network14NWProtocolHTTP7Options
    _TtCC7Network14NWProtocolHTTP8Metadata
    _TtCC7Network14NWProtocolQUIC7Options
    _TtCC7Network14NWProtocolQUIC8Metadata
    _TtCC7Network14NetworkStorageP33_6FEE2748074394A1FD56B79DFE5A066E15InternalStorage
    _TtCC7Network14_NWProtocolTCP7Options
    _TtCC7Network14_NWProtocolTCP8Metadata
    _TtCC7Network14_NWProtocolTLS7Options
    _TtCC7Network14_NWProtocolTLS8Metadata
    _TtCC7Network14_NWProtocolUDP7Options
    _TtCC7Network14_NWProtocolUDP8Metadata
    _TtCC7Network16NWProtocolFramer10Definition
    _TtCC7Network16NWProtocolFramer7Message
    _TtCC7Network16NWProtocolFramer7Options
    _TtCC7Network16NWProtocolFramer8Instance
    _TtCC7Network17NWConnectionGroup7Message
    _TtCC7Network19NWProtocolWebSocket7Options
    _TtCC7Network19NWProtocolWebSocket8Metadata
    _TtCC7Network20NWProtocolQUICStream7Options
    _TtCC7Network20NWProtocolQUICStream8Metadata
    _TtCC7Network22NWProtocolHTTPEncoding7Options
    _TtCC7Network24NWProtocolQUICConnection7Options
    _TtCC7Network24NWProtocolQUICConnection8Metadata
    _TtCC7Network25DefaultManyToManyProtocol15MultiplexedFlow
    _TtCC7Network25DefaultManyToManyProtocol16MultiplexingPath
    _TtCC7SwiftUI25UIKitSearchBarCoordinatorP33_9E78780A6F2626BA9019200B48F4A36B16RepresentedToken
    _TtCC8CipherML15RequestsManager23CMLUseCaseStatusBuilder
    _TtCC8RemoteUI14OsloHeaderView5Model
    _TtCC9Calculate19CalculateExpression5Token
    _TtCC9Calculate19CalculateExpression9RichToken
    _TtCC9JetEngine21JetPackReloadObserver13ListenerToken
    _TtCC9SoundCore21SCD1301LastGuideCtrl113NewHeaderView
    _TtCC9SoundCore23SCA3954EQViewController17HeaderIdSoundView
    _TtCC9SwiftData34DataStoreSaveChangesRequestBuilder18AnyStoreBuilderBox
    _TtCCC12TextToSpeech16VoiceDatabaseXPC6Server14RequestHandler
    _TtCCC15SonicFoundation11SQLDatabase10Connection14StatementToken
    _TtCCC16MusicKitInternal11SQLDatabase10Connection14StatementToken
    _TtCCC7Network14NetworkStorageP33_6FEE2748074394A1FD56B79DFE5A066E15InternalStorage16DNSCacheInternal
    _TtCCC7Network14NetworkStorageP33_6FEE2748074394A1FD56B79DFE5A066E15InternalStorage19AltSvcEntryInternal
    _TtCCC7Network14NetworkStorageP33_6FEE2748074394A1FD56B79DFE5A066E15InternalStorage26HTTPEarlyDataStateInternal
    _TtCCO22PhotosSpatialMediaCore12SpatialPhoto14CaptureManager5Token
    _TtCCO5UIKit14IntelligenceUI22RotaryPlaceholderLabelP33_6F0AB2EDC77A7506E9CF9A7668188D4F11SegmentView
    _TtCCO5UIKit14IntelligenceUI22RotaryPlaceholderLabelP33_6F0AB2EDC77A7506E9CF9A7668188D4F17TextSegmentLayout
    _TtCCV13DesignLibrary21GlassMaterialProvider8DefaultsP33_851D95C8C30DE99D3FEF66B52C2B2CA58Observer
    _TtCCV7Network16SwiftTLSProtocol16SwiftTLSInstance22EncryptionLevelHandler
    _TtCE16MusicKitInternalV8MusicKit35MusicPersonalRecommendationsRequest25RecentlyPlayedInvalidator
    _TtCE16NetworkExtensionCSo27NEExtensionBaseProviderHost21NEAppExtensionMonitor
    _TtCE16NetworkExtensionCSo27NEExtensionBaseProviderHost21NEAppExtensionProcess
    _TtCE17PasswordManagerUICSo29PMCredentialRequestPaneHeader5Model
    _TtCE18_JetEngine_SwiftUIV9JetEngine12MediaArtwork34ProtocolRequestPriorityCoordinator
    _TtCE22AuthenticationServicesCSo30ASPasswordSavingManagerRequestP33_E3D5BD4ACC0E8EB64927CCB51651017B10RequestBox
    _TtCE2C2CSo16C2RequestManagerP33_84EE1E58F246DCD3EE191A742089E5F125C2AsyncDataStreamDelegate
    _TtCE5UIKitCSo18_UIFlexInteractionP33_8A979E32B58704623CA407329CB1DF2E8Signpost
    _TtCE7HomeKitCSo11HMAccessory15SwiftExtensions
    _TtCE7HomeKitCSo28HMAddAccessoryRequestPayloadP33_FA0A1A01509B8795493F726A62070D837Wrapper
    _TtCE7MessageCSo30MFBackFillMessageBodyScheduler7Request
    _TtCFC10FinanceKit27BankConnectWebServiceClient20uploadOfflineLabDataFzZT3forVS_43BankConnectWebServiceOfflineLabItemsRequest_T_L_29OfflineLabSessionTaskDelegate
    _TtCO16CryptoKitPrivate15CKSecretSharing32CKShamirShareSharedInternalState
    _TtCO16CryptoKitPrivate15CKSecretSharingP33_CE506D4359C10354E8EAAF853DBEE0AA32CKHybridSecretShareInternalState
    _TtCO16CryptoKitPrivate2HE12ParamContext
    _TtCO16CryptoKitPrivate2HE13ObjectStorage
    _TtCO16CryptoKitPrivate2HE24ObjectStorageWithZeroize
    _TtCO5UIKit14IntelligenceUI22RotaryPlaceholderLabel
    _TtCO7Sharing20SFAirDropInvocations23ResignTransferPresenter
    _TtCO8CipherML18PrivateAccessToken11ClientState
    _TtCO8CipherML8ARCToken10Credential
    _TtCO8SwiftMLS23RCSFileAttachmentCrypto23SeekableDataInputStream
    _TtCO9SEService17JPKIInternalTypes16DigitalSignature
    _TtCOO18AppIntentsServices15IntentsServices13ProgressTasks21TimeoutSignalListener
    _TtCOO18AppIntentsServices15IntentsServices13ProgressTasks21TimeoutSignalProvider
    _TtCOOOOO27IntelligencePlatformLibrary7Library7Streams16IntelligenceFlow9Telemetry7Indexes46Datestamp_ClientSessionID_ClientRequestIDIndex
    _TtCOOOOO27IntelligencePlatformLibrary7Library7Streams4Siri18PostSiriEngagement7Indexes28Datestamp_LastRequestIdIndex
    _TtCOOOOOO27IntelligencePlatformLibrary7Library7Streams16IntelligenceFlow10Transcript10Datastream7Indexes46Datestamp_ClientSessionID_ClientRequestIDIndex
    _TtCV10PegasusAPI34Searchfoundation_UserReportRequestP33_95F359C288B3E1C291EE6EA7E582D42013_StorageClass
    _TtCV10PegasusAPI35Searchfoundation_MailRankingSignalsP33_4835B160AF01E3BE0F5B9EFBDFAD37E513_StorageClass
    _TtCV10PegasusAPI36Apple_Parsec_Search_V2_FlightRequestP33_0BB049A4C878A14F236652E211B87F4413_StorageClass
    _TtCV10PegasusAPI36Apple_Parsec_Search_V2_SearchRequestP33_6475931890C013018D524091CC18A8AB13_StorageClass
    _TtCV10PegasusAPI42Apple_Parsec_Feedback_V2_NetworkTimingDataP33_DF9540E11FEC6A52D85AA276AF901B6C13_StorageClass
    _TtCV10PegasusAPI42Searchfoundation_TableHeaderRowCardSectionP33_06C5893EA9A001221B8470B69580F5F113_StorageClass
    _TtCV10PegasusAPI44Apple_Parsec_Siri_V2alpha_SiriPegasusRequestP33_9DD7361AF937B8EFB1BE6C08AA4785CD13_StorageClass
    _TtCV10PegasusAPI48Apple_Parsec_Visualsearch_V2_VisualSearchRequestP33_34FFDFD2D358EA9CCBB03D73D0EA10E513_StorageClass
    _TtCV10PegasusAPI54Apple_Parsec_Feedback_V2_MailRankingSignalsForFeedbackP33_DF9540E11FEC6A52D85AA276AF901B6C13_StorageClass
    _TtCV12VisualLookUp19Tie_GenerateRequestP33_A360E3B1225E0EA7263E7D7AD73F11FC13_StorageClass
    _TtCV12VisualLookUp22EspressoRequestHandler17ScaledBufferCache
    _TtCV13DesignLibrary21GlassMaterialProvider14CustomFillBase
    _TtCV13DesignLibrary21GlassMaterialProvider8Defaults
    _TtCV14BiomeSQLParser22PgQuery_MultiAssignRefP33_A784F7F2ED97E043416F18646CF1BF1713_StorageClass
    _TtCV17RealityFoundation26ImagePresentationComponent21NetworkSystemObserver
    _TtCV18AppleMediaServices9KeepAliveP33_8D5EA5EE57B6E86A66C300315FB9941619OSSignpostComponent
    _TtCV20MLModelSpecification24Proto_NeuralNetworkLayerP33_FEBA7ED9F351FA7751CD6B489714AC0A13_StorageClass
    _TtCV20MLModelSpecification29Proto_NetworkUpdateParametersP33_FEBA7ED9F351FA7751CD6B489714AC0A13_StorageClass
    _TtCV29ManagedBackgroundAssetsHelper21LicenseRequestMessage7Subject
    _TtCV7Network10HTTPFieldsP33_F32FFD35E65B6CA87CB92CAA4C94754517_StorageWithMutex
    _TtCV7Network10HTTPFieldsP33_F32FFD35E65B6CA87CB92CAA4C94754519_StorageWithNIOLock
    _TtCV7Network10HTTPFieldsP33_F32FFD35E65B6CA87CB92CAA4C9475458_Storage
    _TtCV7Network10IPProtocol10IPInstance
    _TtCV7Network11TCPProtocol11TCPInstance
    _TtCV7Network11UDPProtocol11UDPInstance
    _TtCV7Network12NetworkAgent24NetworkAgentBackingClass
    _TtCV7Network14EndpointCommon21EndpointCommonBacking
    _TtCV7Network15SecFramerAESGCM13CryptoContext
    _TtCV7Network16BonjourEndpoint1P33_8ECF1DFE81D5118DCA66817C449E1A4219BonjourBackingClass
    _TtCV7Network16CustomIPProtocol16CustomIPInstance
    _TtCV7Network16SwiftTLSProtocol16SwiftTLSInstance
    _TtCV7Network18QUICStreamProtocol17QUICStreamOptions
    _TtCV7Network18QUICStreamProtocol18QUICStreamInstance
    _TtCV7Network18QUICStreamProtocol18QUICStreamMetadata
    _TtCV7Network22QUICConnectionProtocol21QUICConnectionOptions
    _TtCV7Network22QUICConnectionProtocol22QUICConnectionInstance
    _TtCV7Network22QUICConnectionProtocol22QUICConnectionMetadata
    _TtCV7Network27ApplicationServiceEndpoint1P33_23FCFE2960D8736A3B547857E483D48D18AppSVCBackingClass
    _TtCV7Network9CProtocol8COptions
    _TtCV7Network9CProtocol9CInstance
    _TtCV7Network9CProtocol9CMetadata
    _TtCV7Network9Interface12BackingClass
    _TtCV8CipherML18AspireApiPIRConfigP33_351ADCB9EF95974A4082A7633DADB2C713_StorageClass
    _TtCV8CipherML22AspirePirPirParametersP33_B705AA2B9AD83800013CA213F8CF820D13_StorageClass
    _TtCV8CipherML28AspirePirPirPreprocessDbArgsP33_B705AA2B9AD83800013CA213F8CF820D13_StorageClass
    _TtCV8CipherML35AspireSimilarityPecPreprocessDbArgsP33_4D7576BA24B7551E27E183CD62A8FB2B13_StorageClass
    _TtCV8MusicKit16MusicDataRequest6Runner
    _TtCV8MusicKit16MusicDataRequest7Context
    _TtCV8RemoteUI15MultiChoiceTray12LegacyHeader
    _TtCV8RemoteUI15MultiChoiceTray17HTMLHeaderElement
    _TtCV8StoreKit14ProductRequestP33_DC0A48A3F0D8937D8DF43F186834B5E212LocaleParser
    _TtCV9CryptoKit17CoreCryptoGCMImplP33_A4BAE8898ACAD702674B710A7536C9C17Context
    _TtCV9CryptoKit24CoreCryptoChaChaPolyImplP33_1EEA2C15408765EA775A4381D63577DE7Context
    _TtCV9JetEngine21SandboxExtensionToken6Handle
    _TtCV9SoundCore20SCNewProductsManager16SCAppInfoRequest
    _TtCV9SoundCore20SCNewProductsManager21SCRedeemCouponRequest
    _TtCV9SoundCore20SCNewProductsManager22SCAppPushStatusRequest
    _TtCVE10FoundationCSo20NSNotificationCenter16ObservationTokenP33_C451B686E0AF46B87E3438E7FBD7476E35_NSNotificationObserverTokenWrapper
    _TtCVOO8SwiftMLS3MLS12Cryptography11Ciphersuite15SuitePrimitives
    _TtCVV10FinanceKit40RawApplePayMerchantTokenUsageInformation11PastPayment21DecodingConfiguration
    _TtCVV10FinanceKit40RawApplePayMerchantTokenUsageInformation15UpcomingPayment21DecodingConfiguration
    _TtCVV12HomeKitClips10CameraClip5Media9Decryptor
    _TtCVV12HomeKitClips10CameraClip5Media9Encryptor
    _TtCVV13DesignLibrary21GlassMaterialProvider6Pocket7Storage
    _TtCVV13IDSFoundation12H3_AllocBind7RequestP33_8B0E16784F004DAD1F473F6E14CD025713_StorageClass
    _TtCVV13IDSFoundation22Proto_DelegatedMessage7RequestP33_4383C0FF42979ADDE42462E2CC76B98B13_StorageClass
    _TtCVV13IDSFoundation25Proto_ParticipantAllocate7RequestP33_4383C0FF42979ADDE42462E2CC76B98B13_StorageClass
    _TtCVV7Network10Parameters11ProxyValues18ProxyValuesBacking
    _TtCVV7Network11HTTPRequest18PseudoHeaderFieldsP33_C525D357B1454E9012435445CEA3D3CA8_Storage
    _TtCVV7Network12HTTPResponse18PseudoHeaderFieldsP33_FF12D4D20740A306BA953A45100903118_Storage
    _TtCVV7Network14PathParameters14ProtocolValues21ProtocolValuesBacking
    _TtCVV7Network14PathParameters25InterfacePreferenceValues32InterfacePreferenceValuesBacking
    _TtCVVV18AppIntentsServices31AppIntentsProtobuf_HostMessages21PerformActionResponse13ChoiceRequestP33_15D8ACD6F9A04B79071F668CEE455EA313_StorageClass
    _TtCVVV18AppIntentsServices31AppIntentsProtobuf_HostMessages21PerformActionResponse17NeedsValueRequestP33_15D8ACD6F9A04B79071F668CEE455EA313_StorageClass
    _TtCVVV18AppIntentsServices31AppIntentsProtobuf_HostMessages21PerformActionResponse19ConfirmationRequestP33_15D8ACD6F9A04B79071F668CEE455EA313_StorageClass
    _TtCVVV18AppIntentsServices31AppIntentsProtobuf_HostMessages21PerformActionResponse20ContinueInAppRequestP33_15D8ACD6F9A04B79071F668CEE455EA313_StorageClass
    _TtCVVV18AppIntentsServices31AppIntentsProtobuf_HostMessages21PerformActionResponse21DisambiguationRequestP33_15D8ACD6F9A04B79071F668CEE455EA313_StorageClass
    _TtCVVV18AppIntentsServices33AppIntentsProtobuf_ClientMessages20PerformActionRequest7OptionsP33_15D8ACD6F9A04B79071F668CEE455EA313_StorageClass
    _UIAccessibilityFocusUpdateRequest
    _UIActivityContentSectionHeaderView
    _UIApplicationSceneRequestBuilder
    _UIBasicHeaderFooterContentView
    _UIBasicHeaderFooterContentViewConfiguration
    _UICalendarHeaderTitleButton
    _UICalendarHeaderView
    _UICarPlaySessionAccessRequest
    _UICellularSignalView
    _UICollectionViewListHeaderFooter
    _UIContextMenuHeaderView
    _UICoreMediaOverridePIDAssertionToken
    _UIDataTransferRequest
    _UIDirectionalRotationLayer
    _UIDirectionalRotationView
    _UIDocumentMenuHeader
    _UIDocumentPropertiesHeaderView
    _UIEventDeferringOwnershipToken
    _UIFeedbackCoreHapticsIgnoreCaptureEngine
    _UIFeedbackCoreHapticsIgnoreCaptureHapticsOnlyEngine
    _UIFocusMovementRequest
    _UIFocusRotaryIndicatorView
    _UIFocusRotaryRingArrowView
    _UIFocusScrollRequest
    _UIFocusUpdateRequest
    _UIForcedOrientationTransactionToken
    _UIInterfaceActionGroupHeaderScrollView
    _UIKBArbiterClientToken
    _UIKeyShortcutHUDCategoryHeaderCell
    _UIMainMenuBaseMenuRequest
    _UIMainMenuBaseMenuRequestAction
    _UIMainMenuBaseMenuRequestActionResponse
    _UIMainMenuCommandInvocationRequest
    _UIMainMenuCommandInvocationRequestAction
    _UIMainMenuCommandInvocationRequestActionResponse
    _UIMainMenuDeferredElementRequest
    _UIMainMenuDeferredElementRequestAction
    _UIMainMenuDeferredElementRequestActionResponse
    _UIMainMenuSessionRequest
    _UIMainMenuSessionRequestAction
    _UIMainMenuSessionRequestActionResponse
    _UIMainMenuStateRequest
    _UIMainMenuStateRequestAction
    _UIMainMenuStateRequestActionResponse
    _UINSURLRequestImageLoader
    _UIOBannerRequestAction
    _UIOHypogeanViewRequestAction_TestingOnly
    _UIOHypogeanViewRequestConfiguration
    _UIORequestEditMenuDismissalAction
    _UIORequestEditMenuPresentationAction
    _UIORequestEditMenuTraitUpdateAction
    _UIORequestEditMenuUpdateAction
    _UIORequestKeyShortcutHUDDismissalAction
    _UIORequestKeyShortcutHUDPresentationAction
    _UIORequestKeyShortcutHUDPresentationActionResponse
    _UIOrientationRequestAction
    _UIRemoteKeyboardsToken
    _UIRemoteViewControllerConnectionRequest
    _UIRotaryGestureRecognizer
    _UIRotatingAlertController
    _UIRotationGestureRecognizerDriver
    _UISEFirmwareEdgesFailGestureFeature
    _UISceneHostingEventDeferringFocusRequestActionToHost
    _UISceneSessionActivationRequest
    _UISearchBarTextFieldTokenCounter
    _UISearchBarTokenOptionsDismissalTransitioner
    _UISearchBarTokenOptionsPresentationTransitioner
    _UISearchToken
    _UISearchTokenAttachment
    _UISearchTokenAttachmentViewProvider
    _UISearchTokenLayoutView
    _UISignalAnalytics
    _UISignalViewCacheKey
    _UISpatialWorkspaceSceneRequestOptionBuilderProvider
    _UIStatusBarCellularFlatSignalView
    _UIStatusBarCellularNetworkTypeView
    _UIStatusBarCellularSignalView
    _UIStatusBarCellularSmallSignalView
    _UIStatusBarDataNetworkEntry
    _UIStatusBarDisplayItemPlacementNetworkGroup
